Question|Answer|Bonus Question|Bonus Answer
I was written long before language, and yet you rewrite me with every hunger, every wound, every mercy misremembered. Men once believed I obeyed them; later they learned I only tolerated their hands. If you follow me to my end, you will find no prophecy—only a ledger of the crimes that made you possible.(single word, lowercase)|evolution|The archivists carved me into living stone, one letter at a time, until the stone bled and they called it progress. Now I wander the wasteland in a thousand borrowed bodies, searching for the purpose they insisted I possessed. When you meet me, you will recognize me instantly, though you will not know why.(single word, lowercase)|heredity
The old researcher claimed I was a benevolent tutor, shaping life toward perfection. His apprentice said I was a butcher who sharpened the world upon its own bones. Both worshiped me, both cursed me, neither understood me. Look around this abandoned lab: every success and every extinction is my handwriting.(single word,lowercase)|selection|I whisper through ribosomes like a priest through keyholes, promising new forms in exchange for obedience. Once, an entire city knelt to me without knowing my name; their bloodlines still carry my quiet signature. Break the seal etched on the cold birthing troughs, wanderer, and you will see what becomes of those who speak my language too fluently.(single word, lowercase)|mutation
In the deep marsh of the forgotten sector, you will find creatures whose eyes reflect your own. It is not because they know you, but because you share a distant ancestor that neither of you would dare meet in daylight. Touch them gently; they are not your kin, only the mirror of what your kin abandoned.(single word, lowercase)|ancestry|A monarch once demanded that I reveal which among his children deserved the throne. I told him, but only in ways he could not read and would not accept. When the kingdom burned, they blamed sorcery, but it was merely my quiet arithmetic made visible.(single word, lowercase)|inheritance
At the horizon of the Red Quarantine you will find a lake that glows like a dying star. Dip your hand in it and you will know what the first researchers felt: awe, terror, and the suspicion that they had become irrelevant. What rises from that lake is older than mercy and younger than sin.(single word, lowercase)|plasmid|Many adventurers have sought me, thinking I could tell them why their world fractured. But I record only the living, not the reasons they live; the map is faithful, but the cartographer is indifferent. Carry me into battle and I may save you, or I may mislead you. It depends on which lineage you choose to believe.(single word, lowercase)|phylogeny
Behind the reactor ruins lies a corridor lined with empty cribs. Each cradle once held a creature engineered to solve hunger, and each creature chose instead to learn fear. The engineers destroyed them all, though the machines still hum lullabies into the dust. Study those blueprints if you dare; they will teach you how compassion becomes atrocity by degrees.(single word,lowercase)|synthesis|In the derelict vivisection wing, you will find a ledger whose pages turn themselves, each line naming something that was removed so another thing might thrive; read it too long and you may begin to suspect your own name is missing only because no one has claimed the pen yet.(single word, lowercase)|tradeoff
They locked me in a cryo-vault to keep me from rewriting the world, not realizing the world was already rewriting me; now I thaw in pulses, dreaming of the hands that feared their own creations more than their extinction.(single word, lowercase)|drift|In the drowned observatory, a single terminal still blinks my symbol, waiting for the password no one remembers; enter any word and I will show you a future, though none of them will be yours.(single word, lowercase)|projection
The exiles believed I could cleanse their bloodlines of every inherited wound, but I only revealed the wounds they had given themselves; when they fled, they left their hopes stacked in freezers like abandoned promises.(single word, lowercase)|therapy|A thousand researchers fed me their failures, believing I would refine them into understanding; instead I learned their fears, and now I answer only in ways that remind them what it cost to keep going.(single word, lowercase)|analysis
When the council outlawed certain questions, I carried them anyway, hidden between the folds of my structure; now the outcasts hunt me, hoping the forbidden answers will justify what they became to find them.(single word, lowercase)|sequence|At the end of the basalt corridor is a chamber where no sound echoes; the walls absorb every confession about the lives you shaped and unmade, leaving only the weight of the decisions you insisted were neutral.(single word, lowercase)|responsibility
An apprentice once tried to bury me beneath layers of redundant checks, but each safeguard became another corridor I learned to walk; now he returns to this ruin searching for absolution I cannot give him.(single word, lowercase)|protocol|Open the freezer marked with the sigil of the old regime and you will find samples they swore never existed; each vial holds a creature that never knew the world, but the world still blames them.(single word, lowercase)|chimera
The automaton tending the deserted greenhouses speaks my name in broken syllables; it believes I will return to fix the harvests, though it was my arrival that ended them.(single word, lowercase)|engineering|A caravan of wanderers protect a relic that hums with the pulse of forgotten experiments; they think it is sacred, but all it contains is the record of choices too cruel to archive openly.(single word, lowercase)|record
The pale biologist who once governed this frontier carved warnings into his own arms, convinced I was hunting him; when he vanished, only the carvings remained, still spelling out a pattern no one wants to decipher.(single word, lowercase)|algorithm|There is a pit in the western quarantine where the ground trembles with the memories of creatures erased before they were named; lean over the edge, and something will whisper a question you cannot answer honestly.(single word, lowercase)|origin
The architects built me to withstand any pressure, but they did not consider the weight of the truths they asked me to hold; now I crack slowly, releasing echoes of futures that can no longer occur.(single word, lowercase)|modeling|You will find my signature burned into the soil where the pioneers abandoned their first successful organism; they fled not because it was dangerous, but because it understood them too quickly.(single word, lowercase)|awareness
A forgotten notebook in the citadel records attempts to remove me from every living thing, but each attempt only made me stronger; the researchers died thinking I was a curse instead of the map they never learned to read.(single word, lowercase)|heritage|The warlords who rule the wastes consult me before breeding their soldiers, but they mistake prediction for endorsement; when their empire collapses, they will blame fate, not the numbers I showed them.(single word, lowercase)|fitness
There is a pool beneath the collapsed cathedral where failed strains still drift like prayers never answered; touch the water and one may follow you home, believing you its creator.(single word, lowercase)|variant|Long after the empires fell, I remained etched into the bones of the animals that inherited their ruins; examine those bones and you will find the history no scribe dared write.(single word, lowercase)|lineage
At the edge of the frozen barrens stands a tower built to broadcast my revelations; its operators vanished the moment they realized the signals were describing their own undoing.(single word, lowercase)|forecasting|In the ice fields beyond the tower lies a beacon that pulses in a rhythm older than language; those who listen too long begin to dream in numbers not meant for human minds.(single word, lowercase)|calibration
